City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.27,moderate rain,-23.1203,-134.9692,People ThankYou
3,Jibuti,DJ,69.75,clear sky,11.5,42.5,Orchid Main Camp Goubet
8,Atar,MR,76.14,clear sky,20.5169,-13.0499,Oumou Elghoura
9,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
11,Namibe,AO,69.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
12,Hilo,US,79.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Inhambane,MZ,72.16,clear sky,-23.865,35.3833,Oceano
14,Riyadh,SA,69.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
15,Kirakira,SB,83.25,broken clouds,-10.4544,161.9205,SanBiz Lodge
16,Bull Savanna,JM,76.73,broken clouds,17.8868,-77.5902,Big Red's
20,Niono,ML,75.63,scattered clouds,14.2526,-5.993,Hôtel Campement
23,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
31,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
34,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Chiredzi,ZW,71.89,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
36,Thinadhoo,MV,81.14,overcast clouds,0.5333,72.9333,
40,Tocopilla,CL,65.43,few clouds,-22.092,-70.1979,Hotel Galvarino
42,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
44,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
45,Hervey Bay,AU,77.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
46,Byron Bay,AU,70.95,broken clouds,-28.65,153.6167,Backpackers Inn
51,Touros,BR,78.69,clear sky,-5.1989,-35.4608,INN NEW HORIZON
53,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
55,Belmonte,BR,75.85,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
56,Flinders,AU,66.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
57,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Qui Nhon,VN,78.01,overcast clouds,13.7667,109.2333,Seagull Hotel
62,Butaritari,KI,81.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
63,Bengkulu,ID,74.8,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
66,Vaitape,PF,79.47,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
71,Airai,TL,72.21,broken clouds,-8.9266,125.4092,
73,Qurbus,TN,66.54,light rain,36.8167,10.5687,اقامةالمياه المعدنية
76,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
77,Tautira,PF,77.94,overcast clouds,-17.7333,-149.15,Pension Oaoa
78,Hithadhoo,MV,80.8,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Beruwala,LK,74.39,broken clouds,6.4788,79.9828,The Palms Hotel
84,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
95,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Green leaf
97,Vilhena,BR,76.1,overcast clouds,-12.7406,-60.1458,Hotel Mirage
98,Rafai,CF,68.61,overcast clouds,4.95,23.9167,
99,Boke,GN,75.34,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
100,Bubaque,GW,83.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
105,Bella Union,UY,73.69,clear sky,-30.2752,-57.6007,Saville Free Shop
106,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
111,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Puerto Baquerizo Moreno,EC,70.81,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
113,San Pedro De Ycuamandiyu,PY,66.18,clear sky,-24.0917,-57.0764,Hotel Refugio
114,Goundam,ML,75.29,overcast clouds,16.4145,-3.6708,
119,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
120,Sao Filipe,CV,77.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
